X,Y,OBJECTID,ID,Status,MeterID,DualID,Jurisdiction,Block,Street,XStreetA,XStreetB,LocationDescription,Notes,Comments,Installed,Retired,Handicap,LinearFeet,Hours,Manufacturer,Models,MetroAreas,MeterType,NFC,Side,Rate,TourBus,TimeRestriction,AddressNumber,City,County,EstimatedOCI,LocatorAddressNumber,LocatorCity,LocatorStreet,StateValue,Replaced,TotalCost,EntryDate,cgLastModified,GeoSyncDate,Latitude,Longitude,cgGeoSyncDate,BlockFaceID,PerformanceParking,CellZone,Spaces,PricingZone,PricingSubzone,Par1MainGeneralOID
11887070.444464,7011413.98388565,12,2943,Active,RH1605N,,Arlington County,1700,N RHODES ST,WILSON BLVD,CLARENDON BLVD,54422 - RH1605N,CONVERTED TO IPS METER 12/29/2016,INSTALL DATE- UNKNOWN,2016/12/29 00:00:00+00,,No,20,12,IPS,M5,Rosslyn,Single,Yes,East,1.50,No,MON - FRI 8AM - 8PM,,,,98.81,,,,,2021/02/23 00:00:00+00,0,2019/05/09 11:43:39+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.89306677,-77.07998,,NRHWICLE,Yes,54422,1,Zone 110,B,6092168
11885861.2631553,7004505.17880565,13,3099,Permanently Removed,WA2138S,WA2136S,Arlington County,2100,S WASHINGTON BLVD,8th ST S,6th ST S,,Perm Rem DHS use 4/13/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Sequoia,Double,,South,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:42+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.87415055,-77.08460209,,,No,54623,1,,,6358055
11895782.3788117,6993426.57989989,14,2658,Active,PTM3505S,PTM3507S,Arlington County,3500,POTOMAC AVE,S GLEBE RD,35th ST S,54026 - PTM3505S,,INSTALLED IPS 2/23/18,2018/02/23 00:00:00+00,,No,20,4,IPS,M5,Crystal City,Double,Yes,West,1.75,No,MON - SAT 8AM - 8PM,,,,73.11,,,,,2018/02/23 00:00:00+00,0,2019/05/09 11:43:32+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.84331011,-77.05037299,,SPOGL35W,Yes,54026,1,Zone 160,B,7163792
11879282.7261156,7005922.54047222,15,2802,Permanently Removed,QU509N,,Arlington County,500,N QUINCY ST,WILSON BLVD,N GLEBE RD,,Replaced with multispace meter,,1970/01/02 00:00:00+00,2011/12/29 00:00:00+00,No,20,,MacKay,,Virginia Square,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:35+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.87831802,-77.10763102,,NQUWI5TE,No,25801,1,,,7697950
11888671.5049101,7012022.16049081,16,3232,Active,WI01500N,,Arlington County,1500,WILSON BLVD,N OAK ST,N PIERCE ST,54504 - WI01500N,,INSTALLED 4/9/11,2011/04/09 00:00:00+00,,No,143,2,CALE,CWT-S4-Touch Stealth,Rosslyn,Multi,No,South,1.75,No,MON - SAT 8AM - 8PM,,,,99.95,,,,,2021/09/25 00:00:00+00,199.5,2019/05/09 11:43:45+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.89466833,-77.07432229,,NWIOAPIS,Yes,54504,7.1500001,Zone 104,B,8256392
11880930.3770197,7007557.01062848,17,2332,Active,LI803N,LI805N,Arlington County,800,N LINCOLN ST,WILSON BLVD,9th ST N,54692 - LI803N,,INSTALLED IPS 1/5/17,2017/01/05 00:00:00+00,,No,20,2,IPS,M5,Virginia Square,Double,Yes,East,1.75,No,MON - SAT 8AM - 8PM,,,,92.92,,,,,2020/02/24 00:00:00+00,0,2019/05/09 11:43:24+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.88273657,-77.10175654,,NLIWI9TE,Yes,54692,1,Zone 130,B,8486506
11885534.9819837,7010401.62993923,18,819,Active,74N,,Arlington County,2100,CLARENDON BLVD,CLARENDON BLVD,15th ST N,54471 - 74N,G1 Level,"INSTALLED IPS 2/6/18; INSTALL DATE- UNKNOWN
Performance Parking No",2018/02/06 00:00:00+00,,No,20,4,IPS,M5,Courthouse,Single,Yes,North,1.75,No,MON - FRI 8AM - 5PM,,,,98.34,,,,,2020/11/14 00:00:00+00,0,2019/05/09 11:42:46+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.89035254,-77.08542889,,BOZG,No,54471,1,Zone 115,,8914611
11882266.5026283,7009292.31555681,19,1919,Active,HU01201N,,Arlington County,1100,N HUDSON ST,WILSON BLVD,13th ST N,54242 - HU01201N,,INSTALLED 8/10/15,2015/08/10 00:00:00+00,,No,105,2,CALE,CWT,Clarendon,Multi,No,East,1.75,No,MON - SAT 8AM - 8PM,,,,43.85,,,,,2015/08/10 00:00:00+00,28.25,2019/05/09 11:43:13+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.88744473,-77.09697023,,NHUWI13E,Yes,54242,5.3000002,Zone 128,B,9168376
11893830.4896709,7000683.37837839,20,1730,Active,FE01103S,,Arlington County,1100,S FERN ST,ARMY NAVY DR,12th ST S,54349 - FE01103S,"There are two Multi-Meters ID: FE01101S, FE01103S in this Parallet Parking 11/19/22",INSTALLED 9/16/09,2009/09/16 00:00:00+00,,No,192,12,CALE,CWT-S4-Touch Stealth,Pentagon City,Multi,No,East,1.50,No,MON - FRI 8AM - 8PM,,,,99.85,1199,,S FERN ST,,2020/12/21 00:00:00+00,116.12,2019/05/09 11:43:08+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.86331747,-77.05682468,,SFEAR12E,Yes,54349,9.6000004,Zone 146,A,9909637
11885416.1951478,6992511.35075922,21,2756,Permanently Removed,QU2702S,,Arlington County,2700,S QUINCY ST,S ARLINGTON MILL DR,CAMPBELL AVE,,28 TO CAMPBELL,,1970/01/02 00:00:00+00,2021/10/19 00:00:00+00,No,20,,POM,,Shirlington,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:34+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.84124119,-77.08681369,,,No,2202,1,,,10351137
11864077.3982586,7008132.8004874,22,3197,Active,WES1906N,WES1904N,Arlington County,1900,N WESTMORELAND ST,LANGSTON BLVD,N VAN BUREN ST,54599 - WES1906N,CONVERTED TO IPS 6-22-17,,1970/01/02 00:00:00+00,,No,20,12,IPS,M5,East Falls Church,Double,Yes,West,0.75,No,MON - FRI 8AM - 8PM,,,,95.08,1929,,N WESTMORELAND ST,,2020/09/01 00:00:00+00,0,2019/05/09 11:43:45+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.88500722,-77.16092387,,NWELAVAW,No,54599,1,,,10883352
11894112.7423872,6999115.45139614,23,1780,Permanently Removed,FE1513S,FE1515S,Arlington County,1500,S FERN ST,15th ST S,18th ST S,,Multi 12/16/15,,1970/01/02 00:00:00+00,2015/12/16 00:00:00+00,No,20,,MacKay,,Crystal City,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:09+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.85900068,-77.05592016,,,No,54340,1,,,11879732
11894732.9836008,6995408.77377014,24,1451,Permanently Removed,EA2704S,,Arlington County,2700,S EADS ST,26th RD S,FORT SCOTT DR,,,10/28/17 CONVERTED TO CALE,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:01+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.8487975,-77.05394732,,SEA26FOW,No,54032,1,,,12959354
11884901.2667157,7010467.10946706,25,929,Active,AD1410N,,Arlington County,1400,N ADAMS ST,WILSON BLVD,CLARENDON BLVD,54394 - AD1410N,METER ID UPDATED 2/15/18 PREV ID # AD1510,"INSTALLED IPS 2/9/18, INSTALL DATE- UNKNOWN",2018/02/09 00:00:00+00,,No,20,2,IPS,M5,Courthouse,Single,Yes,West,1.75,No,MON - SAT 8AM - 8PM,,,,97.82,,,,,2019/06/14 00:00:00+00,0,2019/05/09 11:42:49+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.89055909,-77.08765151,,NADWICLW,Yes,54394,1,Zone 116,A,13421708
11884863.0256505,6991461.97392097,26,757,Permanently Removed,314223S,314221S,Arlington County,4200,31st ST S,S RANDOLPH ST,S ABINGDON ST,,,Converted to Mutlispace 5/12/2020,1970/01/02 00:00:00+00,,No,20,12,IPS-M5,,Shirlington,Double,,South,1.50,No,MON - FRI 8AM - 8PM,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:44+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.83838355,-77.08881221,,S31RAABS,No,54024,1,,,13511331
11886532.7769041,7010171.82199989,27,241,Permanently Removed,141904N,,Arlington County,1900,14th ST N,N TAFT ST,N TROY ST,,"CONVERTED TO MULTISPACE 10/24/15; sticker is falling off; EAST TO SOUTH",,1970/01/02 00:00:00+00,2015/10/24 00:00:00+00,No,20,,MacKay,,Courthouse,Single,,South,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:30+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.88967936,-77.08193624,,N14TATRS,No,54435,1,,,13597043
11881146.9431876,7007772.83762464,28,2206,Permanently Removed,KA803N,KA0801N,Arlington County,900,N KANSAS ST,WILSON BLVD,FAIRFAX DR,,Temp Rem 10/7/14,,1970/01/02 00:00:00+00,2021/10/19 00:00:00+00,No,20,,Duncan,,Virginia Square,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:21+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.88332004,-77.1009843,,,No,54229,1,,,16370516
11888027.3319859,7011446.25383423,29,2388,Active,PI01600N,,Arlington County,1600,N PIERCE ST,CLARENDON BLVD,16th RD N,54532 - PI01600N,DATE ENTERED ON DATABASE 9/22/16,INSTALLED UNKNOWN,2016/09/22 00:00:00+00,,No,111,12,CALE,CWT,Rosslyn,Multi,No,West,1.50,No,MON - FRI 8AM - 8PM,,,,99.46,,,,,2016/09/22 00:00:00+00,3.25,2019/05/09 11:43:25+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.89311468,-77.07661669,,NPICL16W,Yes,54532,5.5500002,Zone 106,B,16510646
11879655.6023383,7006379.59434815,30,2418,Active,PO603N,PO601N,Arlington County,600,N POLLARD ST,WILSON BLVD,6th ST N,54178 - PO603N,"9 TO 6, SOUTH TO EAST","INSTALLED IPS 2/9/18, INSTALLED-UNKNOWN",2018/02/09 00:00:00+00,,No,20,4,IPS,M5,Virginia Square,Double,Yes,East,1.75,No,MON - SAT 8AM - 8PM,,,,95.63,,,,,2018/02/09 00:00:00+00,0,2019/05/09 11:43:26+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.87955729,-77.106297,,NPOWI6TE,Yes,54178,1,Zone 139,B,17738609
11895274.9326481,6996871.82760257,31,1259,Permanently Removed,CLA2309S,,Arlington County,2300,S CLARK ST,23rd ST S,26th ST S,,MULTI 12/16/15,,1970/01/02 00:00:00+00,2015/12/16 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:57+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.85279074,-77.05196361,,SCL2326E,No,54060,1,,,18831154
11883544.9524992,6999639.32239564,32,3426,Active,CO3402S,,Arlington County,3500,COLUMBIA PIKE,S MONROE ST,S LINCOLN ST,54678 - CO3402S,,INSTALLED 6/24/17,2017/06/24 00:00:00+00,,No,20,2,IPS,M5,Columbia Pike,Single,Yes,South,1.75,No,MON - SAT 8AM - 8PM,,,,58.16,3506,,COLUMBIA PIKE,,2020/08/07 00:00:00+00,0,2019/05/09 11:43:50+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.86088948,-77.09299911,,,No,54678,1,,,19639356
11880884.2275057,7007558.24061289,33,2338,Permanently Removed,LI812N,,Arlington County,800,N LINCOLN ST,WILSON BLVD,FAIRFAX DR,,,PERM REMOVED 09/29/2016,1970/01/02 00:00:00+00,2016/09/29 00:00:00+00,No,20,,MacKay,,Virginia Square,Double,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:24+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.88274188,-77.10191858,,,No,54199,1,,,19739248
11893099.3838496,6999531.05391139,34,2006,Active,HA01501S,,Arlington County,1500,S HAYES ST,15th ST S,S FERN ST,54363 - HA01501S,"There are two Multi-Meters ID: HA01501S, HA01503S in this Parallet Parking 11/19/22",INSTALLED 05/10/16,2016/05/10 00:00:00+00,,No,150.8,12,CALE,CWT,Pentagon City,Multi,No,North,1.50,No,MON - FRI 8AM - 8PM,,,,39.24,,,,,2016/05/10 00:00:00+00,2,2019/05/09 11:43:15+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.86018539,-77.05945549,,SHA15FEN,Yes,54363,7.54,Zone 150,B,20800011
11886081.493686,7010620.83192864,35,331,Permanently Removed,152019N,,Arlington County,2000,15th ST N,N COURTHOUSE RD,N TAFT ST,,REMOVED 9/11/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Courthouse,Single,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:32+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.8909312,-77.08349718,,N15COTAN,No,54464,1,,,21103836
11885516.9800512,7010448.66954331,36,814,Permanently Removed,6N,,Arlington County,2100,CLARENDON BLVD,CLARENDON BLVD,15th ST N,54471 - 6N,MEZZANINE LEVEL,"INSTALLED IPS 2/7/18, INSTALL DATE- UNKNOWN
Performance Parking No",2018/02/07 00:00:00+00,2023/04/12 00:00:00+00,No,20,4,IPS,M5,Courthouse,Single,Yes,North,1.75,No,MON - FRI 8AM - 5PM,,,,,,,,,2021/03/17 00:00:00+00,0,2019/05/09 11:42:46+00,2023/04/12 08:40:05+00,2024/10/13 02:10:31+00,38.89048244,-77.08548958,,BOZG,No,54471,1,,,21898600
11891929.3612553,7000382.07615948,37,2202,Permanently Removed,JO1339S,,Arlington County,1300,S JOYCE ST,ARMY NAVY DR,15th ST S,,CONVERTED TO MULTISPACE 10/14/15,,1970/01/02 00:00:00+00,2015/10/14 00:00:00+00,No,20,,POM,,Pentagon City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:21+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.86257214,-77.06351712,,SJOAR15E,No,54376,1,,,21929025
11882220.0411071,7009332.19933531,38,2141,Permanently Removed,HU1119N,HU1117N,Arlington County,1100,N HUDSON ST,13th ST N,WILSON BLVD,,CONVERTED TO MULTISPACE 10/17/15,,1970/01/02 00:00:00+00,2015/10/17 00:00:00+00,No,20,,Duncan,,Clarendon,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:19+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.88755618,-77.0971313,,,No,54242,1,,,22205930
11895350.920029,6996367.6448839,39,1246,Permanently Removed,CLA02500S,,Arlington County,2500,S CLARK ST,23rd ST S,26th ST S,,REMOVED TRANSITWAY PROJECT 6/15/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,88,,CALE,,Crystal City,Multi,,West,,No,,,,,0,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:56+00,2024/09/23 10:38:59+00,2024/10/13 02:10:31+00,38.85140326,-77.05172475,,SCL2627W,No,54104,5,,,22588290
11878478.8067916,7007131.10071914,40,2968,Permanently Removed,ST907N,,Arlington County,900,N STAFFORD ST,9th ST N,FAIRFAX DR,,"12/22/18 REMOVED MULTIMETER CONVERSION, NORTH TO EAST","INSTALLED IPS 2/9/18, INSTALLED-UNKNOWN",2018/02/09 00:00:00+00,1970/01/02 00:00:00+00,No,20,2,IPS,,Ballston,Single,,East,1.75,No,MON - SAT 8AM - 8PM,,,,33.78,,,,,2018/02/09 00:00:00+00,0,2019/05/09 11:43:39+00,2024/09/23 10:34:52+00,2024/10/13 02:10:31+00,38.88166947,-77.11039037,,NST9TFAE,No,54120,1,,,22996930
11884612.8755602,7000476.38174514,41,1903,Permanently Removed,HI905S,,Arlington County,900,S HIGHLAND ST,COLUMBIA PIKE,9th ST S,,PERM-REMOVED 4/22/2017,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Columbia Pike,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:12+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.86314257,-77.08920399,,,No,54568,1,,,23256936
11884851.6644527,7008608.33201665,42,1026,Permanently Removed,BA1007N,,Arlington County,1000,N BARTON ST,11th ST N,10th ST N,,,INSTALL DATE- UNKNOWN,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Courthouse,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:51+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.88545809,-77.08792621,,,No,54385,1,,,23623818
11889100.9863346,7010389.59617065,43,227,Permanently Removed,141405N,,Arlington County,1400,14th ST N,N NASH ST,N OAK ST,,,CONVERTED TO CALE 3/3/18,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Rosslyn,Single,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:29+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.89016797,-77.07290265,,N14OANAN,No,54476,1,,,24049159
11886746.764337,7010501.2186508,44,345,Permanently Removed,15H1818N,151816N,Arlington County,1900,15th ST N,N TAFT ST,N SCOTT ST,,"CONVERTED TO HANDICAP 7/15/15; REMOVED 9/11/15",,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,Yes,20,,IPS,,Courthouse,Double,,South,,No,,,,,0,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:33+00,2024/09/23 10:27:54+00,2024/10/13 02:10:31+00,38.8905746,-77.08116665,,N15TASCS,No,54466,1,,,24071223
11882915.1873545,7008743.26317723,45,2114,Active,HI1103N,,Arlington County,1100,N HIGHLAND ST,WASHINGTON BLVD,11th ST N,54251 - HI1103N,,INSTALLED 12/27/16,2016/12/27 00:00:00+00,,No,20,2,IPS,M5,Clarendon,Single,Yes,East,1.75,No,MON - SAT 8AM - 8PM,,,,88.46,,,,,2019/06/26 00:00:00+00,0,2019/05/09 11:43:18+00,2024/10/13 01:01:20+00,2024/10/13 02:10:31+00,38.88591011,-77.0947211,,NHIWA11E,Yes,54251,1,Zone 123,A,24274463
11895665.8318007,6998134.75814757,46,543,Permanently Removed,20209S,,Arlington County,200,20th ST S,S BELL ST,CRYSTAL DR,,,PERM REMOVED 06/11/2016,1970/01/02 00:00:00+00,2016/06/11 00:00:00+00,No,20,,POM,,Crystal City,Single,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:38+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.85624107,-77.05052114,,S20BECRN,No,54078,1,,,24309283
11882261.9612988,7008900.6293323,47,2161,Permanently Removed,IR1103N,,Arlington County,1100,N IRVING ST,WILSON BLVD,13th ST N,,,CONVERTED TO CALE 3/1/18,1970/01/02 00:00:00+00,2018/03/01 00:00:00+00,No,20,,Duncan,,Clarendon,Single,,East,,No,,,,,,1108,,N IRVING ST,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:19+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.88636958,-77.09700721,,,No,54239,1,,,25305023
11894695.7513918,6993688.27425839,48,1601,Permanently Removed,EA3057S,,Arlington County,3000,S EADS ST,32nd ST S,S GLEBE RD,,"WEST TO EAST, 5 TO 6",,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:05+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.84407562,-77.05417318,,SEA31GLE,No,54028,1,,,25468879
11888923.5486974,7013024.81432539,49,2537,Permanently Removed,NA1915N,,Arlington County,1900,N NASH ST,KEY BLVD,LANGSTON BLVD,,MULSTISPACE CONVERSION 7/2/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Rosslyn,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:29+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.89741026,-77.0733821,,,No,54546,1,,,26208861
